ng,sw,st,min_df,tfidf,NB_acc,NB_prec,NB_rec,NB_f1,LR_acc,LR_prec,LR_rec,LR_f1,RF_acc,RF_prec,RF_rec,RF_f1,SVM_acc,SVM_prec,SVM_rec,SVM_f1
3,0,0,3,1,0.856,0.7669,0.764,0.7655,0.8493,0.853,0.6209,0.6516,0.864,0.8269,0.6861,0.7242,0.8827,0.8321,0.7591,0.7874
3,0,1,2,0,0.844,0.7521,0.8047,0.7722,0.8827,0.8187,0.7832,0.7989,0.8667,0.8345,0.6904,0.7296,0.8733,0.835,0.7159,0.7534
3,0,1,2,1,0.86,0.8112,0.6836,0.7193,0.848,0.8429,0.6201,0.6502,0.8667,0.846,0.6824,0.7231,0.8827,0.8508,0.7377,0.7756
3,0,1,3,0,0.8373,0.7475,0.8166,0.7708,0.8827,0.8155,0.7912,0.8024,0.8613,0.8163,0.6845,0.7209,0.8853,0.8464,0.7528,0.7867
3,0,1,3,1,0.852,0.7608,0.7509,0.7556,0.852,0.85,0.6306,0.664,0.864,0.8237,0.6888,0.7263,0.88,0.8248,0.7575,0.784
3,1,0,2,0,0.8413,0.7482,0.7977,0.7673,0.8773,0.8194,0.7532,0.7792,0.8707,0.844,0.6983,0.7387,0.8733,0.838,0.7133,0.7516
3,1,0,2,1,0.86,0.7825,0.7291,0.7504,0.8347,0.8726,0.5718,0.58,0.868,0.8401,0.6913,0.7312,0.876,0.8312,0.731,0.7654
3,1,0,3,0,0.82,0.7273,0.7953,0.7489,0.8813,0.822,0.769,0.791,0.8787,0.8454,0.7273,0.7655,0.8813,0.8386,0.7449,0.7785
3,1,0,3,1,0.848,0.7546,0.7831,0.7671,0.8387,0.8794,0.5823,0.5966,0.8707,0.8311,0.7089,0.7464,0.8773,0.8194,0.7532,0.7792
3,1,1,2,0,0.8493,0.7586,0.808,0.7781,0.8747,0.8155,0.7462,0.7729,0.8733,0.8478,0.7053,0.746,0.8707,0.8372,0.7036,0.7426
3,1,1,2,1,0.8627,0.79,0.7281,0.752,0.8387,0.8794,0.5823,0.5966,0.8747,0.8462,0.7114,0.7515,0.8813,0.8462,0.7369,0.7739
3,1,1,3,0,0.828,0.7367,0.8055,0.7591,0.88,0.8202,0.7655,0.788,0.8707,0.8257,0.7143,0.7501,0.8813,0.8322,0.753,0.7829
3,1,1,3,1,0.8547,0.7641,0.7846,0.7735,0.8453,0.8885,0.5998,0.6229,0.8733,0.8515,0.7026,0.7441,0.888,0.8375,0.7758,0.8009
4,0,0,2,0,0.8427,0.7506,0.8039,0.7708,0.8787,0.8131,0.7727,0.7902,0.8733,0.8443,0.7079,0.7479,0.876,0.8448,0.7176,0.7569
4,0,0,2,1,0.8653,0.8045,0.7163,0.7469,0.84,0.8814,0.5858,0.6019,0.8733,0.841,0.7106,0.7498,0.8773,0.8436,0.7238,0.7621
4,0,0,3,0,0.828,0.738,0.8109,0.761,0.876,0.8081,0.7684,0.7856,0.8707,0.8311,0.7089,0.7464,0.876,0.8246,0.739,0.7701
4,0,0,3,1,0.8533,0.762,0.7758,0.7685,0.848,0.8916,0.6067,0.6331,0.8667,0.8222,0.7011,0.7376,0.8787,0.8265,0.7486,0.778
4,0,1,2,0,0.8533,0.7639,0.8132,0.7835,0.8813,0.8193,0.7743,0.7936,0.876,0.848,0.7149,0.7551,0.8747,0.8429,0.7141,0.7533
4,0,1,2,1,0.868,0.8146,0.7153,0.7485,0.8427,0.8851,0.5928,0.6125,0.8707,0.8405,0.7009,0.7407,0.8773,0.838,0.7291,0.7654
4,0,1,3,0,0.8267,0.7353,0.8047,0.7578,0.8853,0.8262,0.7822,0.8011,0.876,0.8418,0.7203,0.7586,0.8773,0.8286,0.7398,0.7718
4,0,1,3,1,0.8547,0.7641,0.7766,0.77,0.8467,0.8777,0.6059,0.6317,0.868,0.83,0.6993,0.7373,0.8813,0.8322,0.753,0.7829
4,1,0,2,0,0.8267,0.7309,0.786,0.7507,0.8787,0.8305,0.7433,0.7751,0.876,0.8418,0.7203,0.7586,0.8733,0.8323,0.7186,0.7552
4,1,0,2,1,0.8653,0.7861,0.7591,0.7712,0.8347,0.8918,0.5691,0.5755,0.872,0.8459,0.7018,0.7424,0.8813,0.8386,0.7449,0.7785
4,1,0,3,0,0.8067,0.7173,0.795,0.7385,0.88,0.8303,0.7495,0.7797,0.8827,0.8508,0.7377,0.7756,0.8733,0.8207,0.732,0.7636
4,1,0,3,1,0.8347,0.7389,0.7856,0.757,0.84,0.8671,0.5884,0.606,0.88,0.8417,0.7361,0.7721,0.888,0.8453,0.7651,0.7958
4,1,1,2,0,0.836,0.7424,0.7971,0.7626,0.8813,0.8303,0.7556,0.7843,0.8747,0.8429,0.7141,0.7533,0.868,0.8271,0.702,0.7393
4,1,1,2,1,0.8627,0.7833,0.7468,0.7625,0.8373,0.895,0.5761,0.5868,0.8707,0.8311,0.7089,0.7464,0.8787,0.8374,0.7353,0.7704
4,1,1,3,0,0.8107,0.7185,0.7895,0.7395,0.8813,0.8251,0.7636,0.7884,0.8813,0.8435,0.7396,0.7755,0.8827,0.8361,0.7538,0.7846
4,1,1,3,1,0.8427,0.7483,0.7879,0.7646,0.8453,0.8885,0.5998,0.6229,0.8707,0.834,0.7063,0.7445,0.8973,0.8531,0.7949,0.8192
